Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [mm];Y Position [mm];Abstand [mm];Abstand in x-Richtung [mm];Abstand in y-Richtung [mm];Strecke [mm];Strecke in x-Richtung [mm];Strecke in y-Richtung [mm];Geschwindigkeit [mm/s];Geschwindigkeit in x-Richtung [mm/s];Geschwindigkeit in y-Richtung [mm/s];Beschleunigung [mm/s²];Beschleunigung in x-Richtung [mm/s²];Beschleunigung in y-Richtung [mm/s²];
0;0;10;-63;2,02;-12,14;3,86;0,19;3,86;3,86;0,19;3,86;142,96;7,14;142,78;-885,39;-264,41;-878,78;
1;0,027;12;-43;2,22;-8,29;4,05;0;4,05;7,91;0,19;7,9;119,06;0;119,06;588,56;354,33;573,19;
2;0,061;12;-22;2,22;-4,24;4,45;0,39;4,43;12,36;0,58;12,34;139,07;12,05;138,54;-660,92;-209,15;-648,38;
3;0,093;14;1;2,6;0,19;4,25;0,19;4,24;16,6;0,77;16,58;117,92;5,35;117,8;298,55;29,75;297,46;
4;0,129;14;23;2,79;4,43;3,86;0,19;3,86;20,46;0,96;20,43;128,67;6,43;128,5;-1483,26;-49,42;-1482,75;
5;0,159;16;43;2,99;8,29;3,28;0,19;3,28;23,75;1,16;23,71;84,17;4,94;84,02;-205,35;23,04;-207,38;
6;0,198;16;60;3,18;11,57;2,51;0,19;2,51;26,26;1,35;26,21;76,16;5,84;75,93;-838,58;-14,75;-840,77;
7;0,231;18;73;3,37;14,07;1,75;0,19;1,73;28;1,54;27,95;48,49;5,35;48,19;-558,38;42,49;-573,68;
8;0,267;18;82;3,57;15,81;0,79;0,19;0,77;28,8;1,73;28,72;28,38;6,88;27,54;-560,97;-43,39;-1388,41;
9;0,295;20;86;3,76;16,58;0,43;0,19;-0,39;29,23;1,93;28,34;12,68;5,67;-11,34;585,07;-9,26;-611,4;
10;0,329;20;84;3,95;16,19;1,17;0,19;-1,16;30,4;2,12;27,18;32,57;5,35;-32,13;1175,14;23,99;-1180,26;
11;0,365;22;78;4,14;15,04;2,32;0,19;-2,31;32,72;2,31;24,87;74,87;6,22;-74,62;-18,46;-41,14;15,43;
12;0,396;22;66;4,34;12,72;2,9;0,19;-2,89;35,62;2,51;21,97;74,3;4,94;-74,14;1706,64;-126,73;-1710,86;
13;0,435;24;51;4,53;9,83;3,66;0;-3,66;39,28;2,51;18,31;140,86;0;-140,86;-150,94;239,15;156,37;
14;0,461;24;32;4,53;6,17;4,25;0,19;-4,24;43,53;2,7;14,07;136,94;6,22;-136,8;-267,72;-12,16;267,44;
15;0,492;24;10;4,72;1,93;4,25;0,19;-4,24;47,77;2,89;9,83;128,64;5,84;-128,5;-286,26;-5,21;286,33;
16;0,525;26;-12;4,92;-2,31;4,05;0,19;-4,05;51,83;3,08;5,78;119,19;5,67;-119,06;-139,45;-166,74;135,48;
17;0,559;26;-33;5,11;-6,36;3,66;0;-3,66;55,49;3,08;2,12;114,45;0;-114,45;-736,35;177,17;741,88;
18;0,591;26;-52;5,11;-10,02;3,09;0,19;-3,08;58,58;3,28;-0,96;90,89;5,67;-90,71;-831,37;0;833,72;
19;0,625;28;-68;5,3;-13,11;2,13;0,19;-2,12;60,71;3,47;-3,08;62,62;5,67;-62,36;-778,76;-166,74;771,2;
20;0,659;28;-79;5,49;-15,23;1,16;0;-1,16;61,86;3,47;-4,24;36,14;0;-36,14;-957,33;172,1;1129,44;
21;0,691;28;-85;5,49;-16,38;0,19;0,19;0;62,06;3,66;-4,24;5,51;5,51;0;703,17;-157,35;860,52;
22;0,726;30;-85;5,69;-16,38;0,96;0;0,96;63,02;3,66;-3,28;30,12;0;30,12;813,93;344,21;779,85;
23;0,758;30;-80;5,69;-15,42;1,97;0,39;1,93;64,99;4,05;-1,35;56,16;11,01;55,07;440,9;-314,71;472,06;
24;0,793;32;-70;6,07;-13,49;2,51;0;2,51;67,49;4,05;1,16;71,6;0;71,6;187,74;-367,16;157,35;
25;0,828;32;-57;6,07;-10,99;2,34;-0,39;2,31;69,84;3,66;3,47;78,17;-12,85;77,1;782,97;749,61;803,15;
26;0,858;30;-45;5,69;-8,67;4,07;0,39;4,05;73,9;4,05;7,52;101,66;9,64;101,2;267,52;-679,03;244,6;
27;0,898;32;-24;6,07;-4,63;3,71;-0,58;3,66;77,61;3,47;11,18;112,36;-17,52;110,98;711,37;747,35;747,35;
28;0,931;28;-5;5,49;-0,96;3,67;0,19;3,66;81,28;3,66;14,84;135,83;7,14;135,64;-1245,42;-54,44;-1244,3;
29;0,958;30;14;5,69;2,7;3,47;0,19;3,47;84,75;3,86;18,31;102,21;5,67;102,05;-647,91;-500,23;-666,98;
30;0,992;30;32;5,88;6,17;2,73;-0,39;2,7;87,48;3,47;21,01;80,18;-11,34;79,37;-289,41;505,29;-272,86;
