Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [mm];Y Position [mm];Abstand [mm];Abstand in x-Richtung [mm];Abstand in y-Richtung [mm];Strecke [mm];Strecke in x-Richtung [mm];Strecke in y-Richtung [mm];Geschwindigkeit [mm/s];Geschwindigkeit in x-Richtung [mm/s];Geschwindigkeit in y-Richtung [mm/s];Beschleunigung [mm/s²];Beschleunigung in x-Richtung [mm/s²];Beschleunigung in y-Richtung [mm/s²];
0;0;6;-118;1,55;-28,18;1,45;0,24;1,43;1,45;0,24;1,43;58,1;9,55;57,31;1371,14;179,81;1359,79;
1;0,025;8;-112;1,79;-26,75;3,14;0,48;3,1;4,59;0,72;4,54;92,38;14,05;91,31;1721,8;245,31;1704,28;
2;0,059;10;-99;2,27;-23,64;4,83;0,72;4,78;9,42;1,43;9,31;150,92;22,39;149,25;229,23;-59,97;239,87;
3;0,091;12;-79;2,99;-18,87;5,54;0,72;5,49;14,96;2,15;14,81;158,26;20,47;156,93;150,15;-405,28;184,68;
4;0,126;16;-56;3,7;-13,37;6,21;0,24;6,21;21,18;2,39;21,01;163,51;6,28;163,39;634,46;532,88;588,01;
5;0,164;16;-30;3,94;-7,16;5,07;0,72;5,01;26,24;3,1;26,03;187,62;26,53;185,74;2854,73;-743,7;2921,66;
6;0,191;20;-9;4,66;-2,15;9,79;0,24;9,79;36,04;3,34;35,82;264,7;6,45;264,62;-3063,6;866,56;-3196,16;
7;0,228;20;32;4,9;7,64;4,69;1,19;4,54;40,73;4,54;40,36;151,35;38,52;146,36;337,61;-308,74;414,16;
8;0,259;26;51;6,09;12,18;5,34;0,96;5,25;46,07;5,49;45,61;161,81;28,95;159,2;-721,82;187,04;-780,41;
9;0,292;30;73;7,04;17,43;4,69;1,19;4,54;50,76;6,69;50,15;137,99;35,12;133,45;-1136,74;-230,19;-1115,53;
10;0,326;34;92;8,24;21,97;3,48;0,96;3,34;54,24;7,64;53,49;99,34;27,29;95,52;-1498,25;-590,25;-1402,51;
11;0,361;38;106;9,19;25,31;1,69;0,24;1,67;55,92;7,88;55,16;46,91;6,63;46,43;-685,97;401,04;-1484,95;
12;0,397;40;113;9,43;26,99;0,76;0,72;-0,24;56,68;8,6;54,93;22,21;21,07;-7,02;907,56;-619,74;-1354,24;
13;0,431;42;112;10,15;26,75;1,43;0;-1,43;58,11;8,6;53,49;53,07;0;-53,07;2063,75;-268,02;-2054,82;
14;0,458;42;106;10,15;25,31;3,59;-0,24;-3,58;61,7;8,36;49,91;108,79;-7,24;-108,55;1178,06;6,45;-1180,29;
15;0,491;42;91;9,91;21,73;5,02;-0,24;-5,01;66,72;8,12;44,9;147,66;-7,02;-147,5;1962,81;26,48;-1965,15;
16;0,525;40;70;9,67;16,72;8,36;-0,24;-8,36;75,08;7,88;36,54;214,4;-6,12;-214,31;1547,54;-296,57;-1535,17;
17;0,564;40;35;9,43;8,36;7,42;-0,48;-7,4;82,5;7,4;29,13;274,75;-17,69;-274,18;-2325,97;149,75;2321,14;
18;0,591;38;4;8,96;0,96;7,42;-0,48;-7,4;89,92;6,93;21,73;211,95;-13,65;-211,51;-1488,37;-23,63;1494,57;
19;0,626;36;-27;8,48;-6,45;5,28;-0,48;-5,25;95,2;6,45;16,48;159,86;-14,47;-159,2;895,09;1096,45;-877,16;
20;0,659;34;-49;8;-11,7;6,25;0,72;-6,21;101,45;7,16;10,27;189,4;21,71;-188,15;-1052,04;-870,71;1019,05;
21;0,692;36;-75;8,72;-17,91;5,26;-0,24;-5,25;106,71;6,93;5,01;154,68;-7,02;-154,52;-1117,51;-219,1;1139,32;
22;0,726;36;-97;8,48;-23,16;3,85;-0,48;-3,82;110,56;6,45;1,19;116,69;-14,47;-115,78;-1727,63;0;1754,31;
23;0,759;34;-113;8;-26,99;1,97;-0,48;-1,91;112,53;5,97;-0,72;59,67;-14,47;-57,89;-956,95;-412,78;1754,31;
24;0,792;32;-121;7,52;-28,9;0,96;-0,96;0;113,48;5,01;-0,72;28,09;-28,09;0;594,05;436,11;1365,72;
25;0,826;28;-121;6,57;-28,9;1,74;-0,48;1,67;115,22;4,54;0,96;48,29;-13,27;46,43;1417,71;-21,68;1441,59;
26;0,862;26;-114;6,09;-27,22;3,38;-0,48;3,34;118,6;4,06;4,3;99,33;-14,05;98,33;-377,38;132,21;-363,58;
27;0,896;24;-100;5,61;-23,88;4,32;-0,48;4,3;122,92;3,58;8,6;86,5;-9,55;85,97;2510,99;-176,35;2505,63;
28;0,946;22;-82;5,13;-19,58;5,51;-0,48;5,49;128,44;3,1;14,09;212,05;-18,37;211,25;1106,93;-491,5;1059,79;
29;0,972;20;-59;4,66;-14,09;5,54;-0,72;5,49;133,97;2,39;19,58;240,83;-31,15;238,81;-1978,77;380,89;-1946,79;
30;0,995;16;-36;3,94;-8,6;6,25;-0,72;6,21;140,22;1,67;25,79;195,32;-22,39;194,03;513,9;41,15;521,29;
31;1,027;14;-10;3,22;-2,39;7,2;-0,72;7,16;147,42;0,96;32,96;211,76;-21,07;210,71;-333,22;1322,11;-344,3;
32;1,061;10;20;2,51;4,78;6,01;0,72;5,97;153,44;1,67;38,93;200,43;23,88;199;-2099,65;-597,01;-2056,38;
33;1,091;14;45;3,22;10,75;5,5;0,24;5,49;158,94;1,91;44,42;137,44;5,97;137,31;-451;-149,25;-447,76;
34;1,131;14;68;3,46;16,24;4,06;0;4,06;163;1,91;48,48;119,4;0;119,4;-225,77;-234,12;-234,12;
35;1,165;14;85;3,46;20,3;3,35;-0,24;3,34;166,35;1,67;51,82;111,73;-7,96;111,44;-1866,84;265,34;-1857,38;
36;1,195;14;99;3,22;23,64;1,67;0;1,67;168,02;1,67;53,49;55,72;0;55,72;-1616,16;241,22;-1857,38;
37;1,225;14;106;3,22;25,31;0,24;0,24;0;168,26;1,91;53,49;7,24;7,24;0;1021,26;-219,29;-1240,55;
38;1,258;14;106;3,46;25,31;1,43;0;-1,43;169,69;1,91;52,06;40,94;0;-40,94;1294,21;0;-1294,21;
39;1,293;14;100;3,46;23,88;3,1;0;-3,1;172,79;1,91;48,96;86,24;0;-86,24;1506,63;0;-1506,63;
40;1,329;14;87;3,46;20,78;4,78;0;-4,78;177,57;1,91;44,18;140,47;0;-140,47;2144,59;-250,85;-2139,57;
41;1,363;14;67;3,46;16;5,97;-0,24;-5,97;183,55;1,67;38,21;213,39;-8,53;-213,22;36,09;85,91;-39,05;
42;1,391;14;42;3,22;10,03;8,36;-0,24;-8,36;191,91;1,43;29,85;214,4;-6,12;-214,31;-636,51;368,15;638,85;
